district_a,district_b,population_group,n_a,n_b,proportion_a,proportion_b,difference,test_used,chi2_statistic,p_value,statistically_significant,cohens_h,effect_size,interpretation
1010,1032,elderly,124,125,62.9,31.2,31.7,Chi-Square,23.861,0.0,Yes,0.646,Large,Statistically significant with large practical difference
1010,1033,elderly,124,121,62.9,43.0,19.9,Chi-Square,8.981,0.0027,Yes,0.402,Medium,Statistically significant with moderate practical difference
1010,1034,elderly,124,116,62.9,73.3,-10.4,Chi-Square,2.502,0.1137,No,-0.223,Medium,No statistically significant difference detected
1010,1035,elderly,124,125,62.9,53.6,9.3,Chi-Square,1.849,0.1739,No,0.189,Small,No statistically significant difference detected
1010,1036,elderly,124,136,62.9,38.2,24.7,Chi-Square,14.816,0.0001,Yes,0.499,Medium,Statistically significant with moderate practical difference
1010,1037,elderly,124,145,62.9,37.9,25.0,Chi-Square,15.691,0.0001,Yes,0.505,Large,Statistically significant with large practical difference
1010,1038,elderly,124,176,62.9,50.6,12.3,Chi-Square,3.999,0.0455,Yes,0.25,Medium,Statistically significant with moderate practical difference
1010,1039,elderly,124,147,62.9,29.3,33.7,Chi-Square,29.474,0.0,Yes,0.689,Large,Statistically significant with large practical difference
1010,1040,elderly,124,131,62.9,35.9,27.0,Chi-Square,17.552,0.0,Yes,0.547,Large,Statistically significant with large practical difference
1010,1041,elderly,124,124,62.9,57.3,5.6,Chi-Square,0.605,0.4366,No,0.115,Small,No statistically significant difference detected
1010,1042,elderly,124,112,62.9,62.5,0.4,Chi-Square,,1.0,No,0.008,Small,No statistically significant difference detected
1010,1043,elderly,124,126,62.9,48.4,14.5,Chi-Square,4.745,0.0294,Yes,0.293,Medium,Statistically significant with moderate practical difference
1010,1044,elderly,124,131,62.9,32.8,30.1,Chi-Square,21.923,0.0,Yes,0.612,Large,Statistically significant with large practical difference
1010,1045,elderly,124,151,62.9,59.6,3.3,Chi-Square,0.189,0.6641,No,0.068,Small,No statistically significant difference detected
1010,1046,elderly,124,122,62.9,43.4,19.5,Chi-Square,8.59,0.0034,Yes,0.393,Medium,Statistically significant with moderate practical difference
1010,1047,elderly,124,129,62.9,46.5,16.4,Chi-Square,6.207,0.0127,Yes,0.331,Medium,Statistically significant with moderate practical difference
1010,1048,elderly,124,123,62.9,49.6,13.3,Chi-Square,3.921,0.0477,Yes,0.269,Medium,Statistically significant with moderate practical difference
1010,1049,elderly,124,148,62.9,44.6,18.3,Chi-Square,8.358,0.0038,Yes,0.369,Medium,Statistically significant with moderate practical difference
1010,1050,elderly,124,126,62.9,30.2,32.7,Chi-Square,25.642,0.0,Yes,0.669,Large,Statistically significant with large practical difference
1011,1012,elderly,124,125,36.3,43.2,-6.9,Chi-Square,0.969,0.3249,No,-0.141,Small,No statistically significant difference detected
1011,1013,elderly,124,107,36.3,43.0,-6.7,Chi-Square,0.818,0.3659,No,-0.137,Small,No statistically significant difference detected
1011,1014,elderly,124,129,36.3,55.0,-18.7,Chi-Square,8.212,0.0042,Yes,-0.379,Medium,Statistically significant with moderate practical difference
1011,1015,elderly,124,85,36.3,24.7,11.6,Chi-Square,2.619,0.1056,No,0.253,Medium,No statistically significant difference detected
1011,1016,elderly,124,110,36.3,62.7,-26.4,Chi-Square,15.266,0.0001,Yes,-0.535,Large,Statistically significant with large practical difference
1011,1017,elderly,124,135,36.3,51.9,-15.6,Chi-Square,5.725,0.0167,Yes,-0.315,Medium,Statistically significant with moderate practical difference
1011,1018,elderly,124,125,36.3,41.6,-5.3,Chi-Square,0.532,0.4659,No,-0.109,Small,No statistically significant difference detected
1011,1019,elderly,124,153,36.3,28.1,8.2,Chi-Square,1.756,0.1851,No,0.176,Small,No statistically significant difference detected
1011,1020,elderly,124,119,36.3,48.7,-12.4,Chi-Square,3.361,0.0668,No,-0.253,Medium,No statistically significant difference detected
1011,1021,elderly,124,125,36.3,47.2,-10.9,Chi-Square,2.614,0.1059,No,-0.222,Medium,No statistically significant difference detected
1011,1022,elderly,124,126,36.3,41.3,-5.0,Chi-Square,0.46,0.4977,No,-0.102,Small,No statistically significant difference detected
1011,1023,elderly,124,114,36.3,57.0,-20.7,Chi-Square,9.449,0.0021,Yes,-0.419,Medium,Statistically significant with moderate practical difference
1011,1024,elderly,124,123,36.3,52.8,-16.6,Chi-Square,6.198,0.0128,Yes,-0.335,Medium,Statistically significant with moderate practical difference
1011,1025,elderly,124,136,36.3,50.0,-13.7,Chi-Square,4.419,0.0355,Yes,-0.278,Medium,Statistically significant with moderate practical difference
1011,1026,elderly,124,125,36.3,50.4,-14.1,Chi-Square,4.488,0.0341,Yes,-0.286,Medium,Statistically significant with moderate practical difference
1011,1027,elderly,124,118,36.3,31.4,4.9,Chi-Square,0.455,0.4998,No,0.104,Small,No statistically significant difference detected
1011,1028,elderly,124,153,36.3,42.5,-6.2,Chi-Square,0.854,0.3555,No,-0.127,Small,No statistically significant difference detected
1011,1029,elderly,124,124,36.3,59.7,-23.4,Chi-Square,12.666,0.0004,Yes,-0.473,Medium,Statistically significant with moderate practical difference
1011,1030,elderly,124,134,36.3,52.2,-15.9,Chi-Square,6.001,0.0143,Yes,-0.323,Medium,Statistically significant with moderate practical difference
1011,1031,elderly,124,124,36.3,37.9,-1.6,Chi-Square,0.017,0.8954,No,-0.033,Small,No statistically significant difference detected
1011,1032,elderly,124,125,36.3,31.2,5.1,Chi-Square,0.512,0.4744,No,0.108,Small,No statistically significant difference detected
1011,1033,elderly,124,121,36.3,43.0,-6.7,Chi-Square,0.882,0.3477,No,-0.137,Small,No statistically significant difference detected
1011,1034,elderly,124,116,36.3,73.3,-37.0,Chi-Square,31.55,0.0,Yes,-0.762,Large,Statistically significant with large practical difference
1011,1035,elderly,124,125,36.3,53.6,-17.3,Chi-Square,6.853,0.0088,Yes,-0.35,Medium,Statistically significant with moderate practical difference
1011,1036,elderly,124,136,36.3,38.2,-1.9,Chi-Square,0.038,0.845,No,-0.04,Small,No statistically significant difference detected
1011,1037,elderly,124,145,36.3,37.9,-1.6,Chi-Square,0.023,0.88,No,-0.034,Small,No statistically significant difference detected
1011,1038,elderly,124,176,36.3,50.6,-14.3,Chi-Square,5.436,0.0197,Yes,-0.289,Medium,Statistically significant with moderate practical difference
1011,1039,elderly,124,147,36.3,29.3,7.0,Chi-Square,1.216,0.2702,No,0.15,Small,No statistically significant difference detected
1011,1040,elderly,124,131,36.3,35.9,0.4,Chi-Square,,1.0,No,0.009,Small,No statistically significant difference detected
1011,1041,elderly,124,124,36.3,57.3,-21.0,Chi-Square,10.123,0.0015,Yes,-0.423,Medium,Statistically significant with moderate practical difference
1011,1042,elderly,124,112,36.3,62.5,-26.2,Chi-Square,15.148,0.0001,Yes,-0.53,Large,Statistically significant with large practical difference
1011,1043,elderly,124,126,36.3,48.4,-12.1,Chi-Square,3.28,0.0701,No,-0.246,Medium,No statistically significant difference detected
1011,1044,elderly,124,131,36.3,32.8,3.5,Chi-Square,0.203,0.6526,No,0.073,Small,No statistically significant difference detected
1011,1045,elderly,124,151,36.3,59.6,-23.3,Chi-Square,13.888,0.0002,Yes,-0.471,Medium,Statistically significant with moderate practical difference
1011,1046,elderly,124,122,36.3,43.4,-7.2,Chi-Square,1.031,0.3099,No,-0.146,Small,No statistically significant difference detected
1011,1047,elderly,124,129,36.3,46.5,-10.2,Chi-Square,2.316,0.128,No,-0.208,Medium,No statistically significant difference detected
1011,1048,elderly,124,123,36.3,49.6,-13.3,Chi-Square,3.934,0.0473,Yes,-0.27,Medium,Statistically significant with moderate practical difference
1011,1049,elderly,124,148,36.3,44.6,-8.3,Chi-Square,1.598,0.2062,No,-0.169,Small,No statistically significant difference detected
1011,1050,elderly,124,126,36.3,30.2,6.1,Chi-Square,0.801,0.3708,No,0.13,Small,No statistically significant difference detected
1012,1013,elderly,125,107,43.2,43.0,0.2,Chi-Square,,1.0,No,0.004,Small,No statistically significant difference detected
1012,1014,elderly,125,129,43.2,55.0,-11.8,Chi-Square,3.102,0.0782,No,-0.237,Medium,No statistically significant difference detected
1012,1015,elderly,125,85,43.2,24.7,18.5,Chi-Square,6.753,0.0094,Yes,0.394,Medium,Statistically significant with moderate practical difference
1012,1016,elderly,125,110,43.2,62.7,-19.5,Chi-Square,8.178,0.0042,Yes,-0.394,Medium,Statistically significant with moderate practical difference
1012,1017,elderly,125,135,43.2,51.9,-8.7,Chi-Square,1.616,0.2036,No,-0.173,Small,No statistically significant difference detected
1012,1018,elderly,125,125,43.2,41.6,1.6,Chi-Square,0.016,0.8982,No,0.032,Small,No statistically significant difference detected
1012,1019,elderly,125,153,43.2,28.1,15.1,Chi-Square,6.252,0.0124,Yes,0.317,Medium,Statistically significant with moderate practical difference
1012,1020,elderly,125,119,43.2,48.7,-5.5,Chi-Square,0.547,0.4596,No,-0.111,Small,No statistically significant difference detected
1012,1021,elderly,125,125,43.2,47.2,-4.0,Chi-Square,0.258,0.6112,No,-0.08,Small,No statistically significant difference detected
1012,1022,elderly,125,126,43.2,41.3,1.9,Chi-Square,0.033,0.8558,No,0.039,Small,No statistically significant difference detected
1012,1023,elderly,125,114,43.2,57.0,-13.8,Chi-Square,4.018,0.045,Yes,-0.277,Medium,Statistically significant with moderate practical difference
1012,1024,elderly,125,123,43.2,52.8,-9.6,Chi-Square,1.941,0.1636,No,-0.193,Small,No statistically significant difference detected
1012,1025,elderly,125,136,43.2,50.0,-6.8,Chi-Square,0.952,0.3292,No,-0.136,Small,No statistically significant difference detected
1012,1026,elderly,125,125,43.2,50.4,-7.2,Chi-Square,1.028,0.3106,No,-0.144,Small,No statistically significant difference detected
1012,1027,elderly,125,118,43.2,31.4,11.8,Chi-Square,3.147,0.0761,No,0.246,Medium,No statistically significant difference detected
1012,1028,elderly,125,153,43.2,42.5,0.7,Chi-Square,,1.0,No,0.014,Small,No statistically significant difference detected
1012,1029,elderly,125,124,43.2,59.7,-16.5,Chi-Square,6.122,0.0133,Yes,-0.331,Medium,Statistically significant with moderate practical difference
1012,1030,elderly,125,134,43.2,52.2,-9.0,Chi-Square,1.771,0.1833,No,-0.181,Small,No statistically significant difference detected
1012,1031,elderly,125,124,43.2,37.9,5.3,Chi-Square,0.521,0.4703,No,0.108,Small,No statistically significant difference detected
1012,1032,elderly,125,125,43.2,31.2,12.0,Chi-Square,3.356,0.067,No,0.249,Medium,No statistically significant difference detected
1012,1033,elderly,125,121,43.2,43.0,0.2,Chi-Square,,1.0,No,0.005,Small,No statistically significant difference detected
1012,1034,elderly,125,116,43.2,73.3,-30.1,Chi-Square,21.08,0.0,Yes,-0.621,Large,Statistically significant with large practical difference
1012,1035,elderly,125,125,43.2,53.6,-10.4,Chi-Square,2.306,0.1288,No,-0.208,Medium,No statistically significant difference detected
1012,1036,elderly,125,136,43.2,38.2,5.0,Chi-Square,0.476,0.4904,No,0.101,Small,No statistically significant difference detected
1012,1037,elderly,125,145,43.2,37.9,5.3,Chi-Square,0.571,0.45,No,0.107,Small,No statistically significant difference detected
1012,1038,elderly,125,176,43.2,50.6,-7.4,Chi-Square,1.309,0.2525,No,-0.148,Small,No statistically significant difference detected
1012,1039,elderly,125,147,43.2,29.3,13.9,Chi-Square,5.137,0.0234,Yes,0.291,Medium,Statistically significant with moderate practical difference
1012,1040,elderly,125,131,43.2,35.9,7.3,Chi-Square,1.145,0.2845,No,0.15,Small,No statistically significant difference detected
1012,1041,elderly,125,124,43.2,57.3,-14.1,Chi-Square,4.375,0.0365,Yes,-0.282,Medium,Statistically significant with moderate practical difference
1012,1042,elderly,125,112,43.2,62.5,-19.3,Chi-Square,8.064,0.0045,Yes,-0.389,Medium,Statistically significant with moderate practical difference
1012,1043,elderly,125,126,43.2,48.4,-5.2,Chi-Square,0.493,0.4826,No,-0.105,Small,No statistically significant difference detected
1012,1044,elderly,125,131,43.2,32.8,10.4,Chi-Square,2.502,0.1137,No,0.214,Medium,No statistically significant difference detected
1012,1045,elderly,125,151,43.2,59.6,-16.4,Chi-Square,6.731,0.0095,Yes,-0.33,Medium,Statistically significant with moderate practical difference
1012,1046,elderly,125,122,43.2,43.4,-0.2,Chi-Square,,1.0,No,-0.005,Small,No statistically significant difference detected
1012,1047,elderly,125,129,43.2,46.5,-3.3,Chi-Square,0.163,0.686,No,-0.067,Small,No statistically significant difference detected
1012,1048,elderly,125,123,43.2,49.6,-6.4,Chi-Square,0.778,0.3777,No,-0.128,Small,No statistically significant difference detected
1012,1049,elderly,125,148,43.2,44.6,-1.4,Chi-Square,0.012,0.9133,No,-0.028,Small,No statistically significant difference detected
1012,1050,elderly,125,126,43.2,30.2,13.0,Chi-Square,4.052,0.0441,Yes,0.272,Medium,Statistically significant with moderate practical difference
1013,1014,elderly,107,129,43.0,55.0,-12.0,Chi-Square,2.931,0.0869,No,-0.242,Medium,No statistically significant difference detected
1013,1015,elderly,107,85,43.0,24.7,18.3,Chi-Square,6.189,0.0129,Yes,0.39,Medium,Statistically significant with moderate practical difference
1013,1016,elderly,107,110,43.0,62.7,-19.7,Chi-Square,7.708,0.0055,Yes,-0.398,Medium,Statistically significant with moderate practical difference
1013,1017,elderly,107,135,43.0,51.9,-8.9,Chi-Square,1.54,0.2147,No,-0.178,Small,No statistically significant difference detected
1013,1018,elderly,107,125,43.0,41.6,1.4,Chi-Square,0.006,0.9359,No,0.028,Small,No statistically significant difference detected
1013,1019,elderly,107,153,43.0,28.1,14.9,Chi-Square,5.554,0.0184,Yes,0.313,Medium,Statistically significant with moderate practical difference
1013,1020,elderly,107,119,43.0,48.7,-5.7,Chi-Square,0.536,0.4641,No,-0.115,Small,No statistically significant difference detected
1013,1021,elderly,107,125,43.0,47.2,-4.2,Chi-Square,0.26,0.6102,No,-0.085,Small,No statistically significant difference detected
1013,1022,elderly,107,126,43.0,41.3,1.7,Chi-Square,0.017,0.895,No,0.035,Small,No statistically significant difference detected
1013,1023,elderly,107,114,43.0,57.0,-14.0,Chi-Square,3.801,0.0512,No,-0.281,Medium,No statistically significant difference detected
1013,1024,elderly,107,123,43.0,52.8,-9.9,Chi-Square,1.848,0.174,No,-0.198,Small,No statistically significant difference detected
1013,1025,elderly,107,136,43.0,50.0,-7.0,Chi-Square,0.917,0.3383,No,-0.141,Small,No statistically significant difference detected
1013,1026,elderly,107,125,43.0,50.4,-7.4,Chi-Square,0.991,0.3196,No,-0.149,Small,No statistically significant difference detected
1013,1027,elderly,107,118,43.0,31.4,11.6,Chi-Square,2.782,0.0953,No,0.241,Medium,No statistically significant difference detected
1013,1028,elderly,107,153,43.0,42.5,0.5,Chi-Square,,1.0,No,0.01,Small,No statistically significant difference detected
1013,1029,elderly,107,124,43.0,59.7,-16.7,Chi-Square,5.756,0.0164,Yes,-0.335,Medium,Statistically significant with moderate practical difference
1013,1030,elderly,107,134,43.0,52.2,-9.2,Chi-Square,1.685,0.1943,No,-0.185,Small,No statistically significant difference detected
1013,1031,elderly,107,124,43.0,37.9,5.1,Chi-Square,0.425,0.5146,No,0.104,Small,No statistically significant difference detected
1013,1032,elderly,107,125,43.0,31.2,11.8,Chi-Square,2.963,0.0852,No,0.245,Medium,No statistically significant difference detected
1013,1033,elderly,107,121,43.0,43.0,0.0,Chi-Square,,1.0,No,0.0,Small,No statistically significant difference detected
1013,1034,elderly,107,116,43.0,73.3,-30.3,Chi-Square,19.833,0.0,Yes,-0.625,Large,Statistically significant with large practical difference
1013,1035,elderly,107,125,43.0,53.6,-10.6,Chi-Square,2.19,0.1389,No,-0.213,Medium,No statistically significant difference detected
1013,1036,elderly,107,136,43.0,38.2,4.8,Chi-Square,0.382,0.5363,No,0.097,Small,No statistically significant difference detected
1013,1037,elderly,107,145,43.0,37.9,5.1,Chi-Square,0.463,0.4965,No,0.103,Small,No statistically significant difference detected
1013,1038,elderly,107,176,43.0,50.6,-7.6,Chi-Square,1.243,0.2649,No,-0.152,Small,No statistically significant difference detected
1013,1039,elderly,107,147,43.0,29.3,13.7,Chi-Square,4.549,0.0329,Yes,0.287,Medium,Statistically significant with moderate practical difference
1013,1040,elderly,107,131,43.0,35.9,7.1,Chi-Square,0.971,0.3245,No,0.146,Small,No statistically significant difference detected
1013,1041,elderly,107,124,43.0,57.3,-14.3,Chi-Square,4.124,0.0423,Yes,-0.286,Medium,Statistically significant with moderate practical difference
1013,1042,elderly,107,112,43.0,62.5,-19.5,Chi-Square,7.596,0.0059,Yes,-0.393,Medium,Statistically significant with moderate practical difference
1013,1043,elderly,107,126,43.0,48.4,-5.4,Chi-Square,0.484,0.4866,No,-0.109,Small,No statistically significant difference detected
1013,1044,elderly,107,131,43.0,32.8,10.2,Chi-Square,2.184,0.1395,No,0.21,Medium,No statistically significant difference detected
1013,1045,elderly,107,151,43.0,59.6,-16.6,Chi-Square,6.283,0.0122,Yes,-0.334,Medium,Statistically significant with moderate practical difference
1013,1046,elderly,107,122,43.0,43.4,-0.5,Chi-Square,,1.0,No,-0.009,Small,No statistically significant difference detected
1013,1047,elderly,107,129,43.0,46.5,-3.5,Chi-Square,0.168,0.6819,No,-0.071,Small,No statistically significant difference detected
1013,1048,elderly,107,123,43.0,49.6,-6.6,Chi-Square,0.755,0.3849,No,-0.133,Small,No statistically significant difference detected
1013,1049,elderly,107,148,43.0,44.6,-1.6,Chi-Square,0.016,0.8991,No,-0.032,Small,No statistically significant difference detected
1013,1050,elderly,107,126,43.0,30.2,12.8,Chi-Square,3.595,0.058,No,0.267,Medium,No statistically significant difference detected
1014,1015,elderly,129,85,55.0,24.7,30.3,Chi-Square,18.018,0.0,Yes,0.631,Large,Statistically significant with large practical difference
1014,1016,elderly,129,110,55.0,62.7,-7.7,Chi-Square,1.147,0.2842,No,-0.156,Small,No statistically significant difference detected
1014,1017,elderly,129,135,55.0,51.9,3.2,Chi-Square,0.156,0.6925,No,0.064,Small,No statistically significant difference detected
1014,1018,elderly,129,125,55.0,41.6,13.4,Chi-Square,4.068,0.0437,Yes,0.27,Medium,Statistically significant with moderate practical difference
1014,1019,elderly,129,153,55.0,28.1,26.9,Chi-Square,19.979,0.0,Yes,0.554,Large,Statistically significant with large practical difference
1014,1020,elderly,129,119,55.0,48.7,6.3,Chi-Square,0.748,0.3871,No,0.126,Small,No statistically significant difference detected
1014,1021,elderly,129,125,55.0,47.2,7.8,Chi-Square,1.263,0.261,No,0.157,Small,No statistically significant difference detected
1014,1022,elderly,129,126,55.0,41.3,13.8,Chi-Square,4.304,0.038,Yes,0.276,Medium,Statistically significant with moderate practical difference
1014,1023,elderly,129,114,55.0,57.0,-2.0,Chi-Square,0.033,0.8567,No,-0.04,Small,No statistically significant difference detected
1014,1024,elderly,129,123,55.0,52.8,2.2,Chi-Square,0.05,0.8237,No,0.044,Small,No statistically significant difference detected
1014,1025,elderly,129,136,55.0,50.0,5.0,Chi-Square,0.487,0.4852,No,0.101,Small,No statistically significant difference detected
1014,1026,elderly,129,125,55.0,50.4,4.6,Chi-Square,0.378,0.5388,No,0.093,Small,No statistically significant difference detected
1014,1027,elderly,129,118,55.0,31.4,23.7,Chi-Square,13.101,0.0003,Yes,0.483,Medium,Statistically significant with moderate practical difference
1014,1028,elderly,129,153,55.0,42.5,12.6,Chi-Square,3.93,0.0474,Yes,0.252,Medium,Statistically significant with moderate practical difference
1014,1029,elderly,129,124,55.0,59.7,-4.6,Chi-Square,0.383,0.5362,No,-0.094,Small,No statistically significant difference detected
1014,1030,elderly,129,134,55.0,52.2,2.8,Chi-Square,0.11,0.7403,No,0.056,Small,No statistically significant difference detected
1014,1031,elderly,129,124,55.0,37.9,17.1,Chi-Square,6.787,0.0092,Yes,0.345,Medium,Statistically significant with moderate practical difference
1014,1032,elderly,129,125,55.0,31.2,23.8,Chi-Square,13.739,0.0002,Yes,0.486,Medium,Statistically significant with moderate practical difference
1014,1033,elderly,129,121,55.0,43.0,12.1,Chi-Square,3.169,0.0751,No,0.242,Medium,No statistically significant difference detected
1014,1034,elderly,129,116,55.0,73.3,-18.2,Chi-Square,8.012,0.0046,Yes,-0.383,Medium,Statistically significant with moderate practical difference
1014,1035,elderly,129,125,55.0,53.6,1.4,Chi-Square,0.011,0.917,No,0.029,Small,No statistically significant difference detected
1014,1036,elderly,129,136,55.0,38.2,16.8,Chi-Square,6.855,0.0088,Yes,0.338,Medium,Statistically significant with moderate practical difference
1014,1037,elderly,129,145,55.0,37.9,17.1,Chi-Square,7.37,0.0066,Yes,0.345,Medium,Statistically significant with moderate practical difference
1014,1038,elderly,129,176,55.0,50.6,4.5,Chi-Square,0.431,0.5116,No,0.09,Small,No statistically significant difference detected
1014,1039,elderly,129,147,55.0,29.3,25.8,Chi-Square,17.797,0.0,Yes,0.529,Large,Statistically significant with large practical difference
1014,1040,elderly,129,131,55.0,35.9,19.2,Chi-Square,8.87,0.0029,Yes,0.387,Medium,Statistically significant with moderate practical difference
1014,1041,elderly,129,124,55.0,57.3,-2.2,Chi-Square,0.052,0.819,No,-0.045,Small,No statistically significant difference detected
1014,1042,elderly,129,112,55.0,62.5,-7.5,Chi-Square,1.085,0.2977,No,-0.152,Small,No statistically significant difference detected
1014,1043,elderly,129,126,55.0,48.4,6.6,Chi-Square,0.871,0.3506,No,0.133,Small,No statistically significant difference detected
1014,1044,elderly,129,131,55.0,32.8,22.2,Chi-Square,12.14,0.0005,Yes,0.452,Medium,Statistically significant with moderate practical difference
1014,1045,elderly,129,151,55.0,59.6,-4.6,Chi-Square,0.421,0.5165,No,-0.092,Small,No statistically significant difference detected
1014,1046,elderly,129,122,55.0,43.4,11.6,Chi-Square,2.925,0.0872,No,0.232,Medium,No statistically significant difference detected
1014,1047,elderly,129,129,55.0,46.5,8.5,Chi-Square,1.551,0.213,No,0.171,Small,No statistically significant difference detected
1014,1048,elderly,129,123,55.0,49.6,5.4,Chi-Square,0.546,0.4599,No,0.109,Small,No statistically significant difference detected
1014,1049,elderly,129,148,55.0,44.6,10.4,Chi-Square,2.604,0.1066,No,0.209,Medium,No statistically significant difference detected
1014,1050,elderly,129,126,55.0,30.2,24.9,Chi-Square,15.122,0.0001,Yes,0.509,Large,Statistically significant with large practical difference
1015,1016,elderly,85,110,24.7,62.7,-38.0,Chi-Square,26.382,0.0,Yes,-0.788,Large,Statistically significant with large practical difference
1015,1017,elderly,85,135,24.7,51.9,-27.1,Chi-Square,14.748,0.0001,Yes,-0.567,Large,Statistically significant with large practical difference
1015,1018,elderly,85,125,24.7,41.6,-16.9,Chi-Square,5.644,0.0175,Yes,-0.362,Medium,Statistically significant with moderate practical difference
1015,1019,elderly,85,153,24.7,28.1,-3.4,Chi-Square,0.171,0.6788,No,-0.077,Small,No statistically significant difference detected
1015,1020,elderly,85,119,24.7,48.7,-24.0,Chi-Square,11.078,0.0009,Yes,-0.505,Large,Statistically significant with large practical difference
1015,1021,elderly,85,125,24.7,47.2,-22.5,Chi-Square,9.923,0.0016,Yes,-0.474,Medium,Statistically significant with moderate practical difference
1015,1022,elderly,85,126,24.7,41.3,-16.6,Chi-Square,5.444,0.0196,Yes,-0.355,Medium,Statistically significant with moderate practical difference
1015,1023,elderly,85,114,24.7,57.0,-32.3,Chi-Square,19.421,0.0,Yes,-0.671,Large,Statistically significant with large practical difference
1015,1024,elderly,85,123,24.7,52.8,-28.1,Chi-Square,15.272,0.0001,Yes,-0.587,Large,Statistically significant with large practical difference
1015,1025,elderly,85,136,24.7,50.0,-25.3,Chi-Square,12.881,0.0003,Yes,-0.53,Large,Statistically significant with large practical difference
1015,1026,elderly,85,125,24.7,50.4,-25.7,Chi-Square,12.868,0.0003,Yes,-0.538,Large,Statistically significant with large practical difference
1015,1027,elderly,85,118,24.7,31.4,-6.7,Chi-Square,0.77,0.3803,No,-0.148,Small,No statistically significant difference detected
1015,1028,elderly,85,153,24.7,42.5,-17.8,Chi-Square,6.733,0.0095,Yes,-0.38,Medium,Statistically significant with moderate practical difference
1015,1029,elderly,85,124,24.7,59.7,-35.0,Chi-Square,23.486,0.0,Yes,-0.725,Large,Statistically significant with large practical difference
1015,1030,elderly,85,134,24.7,52.2,-27.5,Chi-Square,15.12,0.0001,Yes,-0.575,Large,Statistically significant with large practical difference
1015,1031,elderly,85,124,24.7,37.9,-13.2,Chi-Square,3.423,0.0643,No,-0.286,Medium,No statistically significant difference detected
1015,1032,elderly,85,125,24.7,31.2,-6.5,Chi-Square,0.752,0.386,No,-0.145,Small,No statistically significant difference detected
1015,1033,elderly,85,121,24.7,43.0,-18.3,Chi-Square,6.507,0.0107,Yes,-0.389,Medium,Statistically significant with moderate practical difference
1015,1034,elderly,85,116,24.7,73.3,-48.6,Chi-Square,44.5,0.0,Yes,-1.015,Large,Statistically significant with large practical difference
1015,1035,elderly,85,125,24.7,53.6,-28.9,Chi-Square,16.184,0.0001,Yes,-0.602,Large,Statistically significant with large practical difference
1015,1036,elderly,85,136,24.7,38.2,-13.5,Chi-Square,3.738,0.0532,No,-0.293,Medium,No statistically significant difference detected
1015,1037,elderly,85,145,24.7,37.9,-13.2,Chi-Square,3.66,0.0557,No,-0.287,Medium,No statistically significant difference detected
1015,1038,elderly,85,176,24.7,50.6,-25.9,Chi-Square,14.68,0.0001,Yes,-0.542,Large,Statistically significant with large practical difference
1015,1039,elderly,85,147,24.7,29.3,-4.5,Chi-Square,0.353,0.5525,No,-0.102,Small,No statistically significant difference detected
1015,1040,elderly,85,131,24.7,35.9,-11.2,Chi-Square,2.487,0.1148,No,-0.244,Medium,No statistically significant difference detected
1015,1041,elderly,85,124,24.7,57.3,-32.6,Chi-Square,20.385,0.0,Yes,-0.676,Large,Statistically significant with large practical difference
1015,1042,elderly,85,112,24.7,62.5,-37.8,Chi-Square,26.272,0.0,Yes,-0.783,Large,Statistically significant with large practical difference
1015,1043,elderly,85,126,24.7,48.4,-23.7,Chi-Square,11.029,0.0009,Yes,-0.499,Medium,Statistically significant with moderate practical difference
1015,1044,elderly,85,131,24.7,32.8,-8.1,Chi-Square,1.263,0.261,No,-0.18,Small,No statistically significant difference detected
1015,1045,elderly,85,151,24.7,59.6,-34.9,Chi-Square,25.203,0.0,Yes,-0.724,Large,Statistically significant with large practical difference
1015,1046,elderly,85,122,24.7,43.4,-18.7,Chi-Square,6.863,0.0088,Yes,-0.399,Medium,Statistically significant with moderate practical difference
1015,1047,elderly,85,129,24.7,46.5,-21.8,Chi-Square,9.451,0.0021,Yes,-0.461,Medium,Statistically significant with moderate practical difference
1015,1048,elderly,85,123,24.7,49.6,-24.9,Chi-Square,12.015,0.0005,Yes,-0.522,Large,Statistically significant with large practical difference
1015,1049,elderly,85,148,24.7,44.6,-19.9,Chi-Square,8.298,0.004,Yes,-0.422,Medium,Statistically significant with moderate practical difference
1015,1050,elderly,85,126,24.7,30.2,-5.5,Chi-Square,0.503,0.4782,No,-0.122,Small,No statistically significant difference detected
1016,1017,elderly,110,135,62.7,51.9,10.9,Chi-Square,2.494,0.1143,No,0.22,Medium,No statistically significant difference detected
1016,1018,elderly,110,125,62.7,41.6,21.1,Chi-Square,9.627,0.0019,Yes,0.426,Medium,Statistically significant with moderate practical difference
1016,1019,elderly,110,153,62.7,28.1,34.6,Chi-Square,29.974,0.0,Yes,0.711,Large,Statistically significant with large practical difference
1016,1020,elderly,110,119,62.7,48.7,14.0,Chi-Square,3.979,0.0461,Yes,0.283,Medium,Statistically significant with moderate practical difference
1016,1021,elderly,110,125,62.7,47.2,15.5,Chi-Square,5.079,0.0242,Yes,0.313,Medium,Statistically significant with moderate practical difference
1016,1022,elderly,110,126,62.7,41.3,21.5,Chi-Square,9.981,0.0016,Yes,0.433,Medium,Statistically significant with moderate practical difference
1016,1023,elderly,110,114,62.7,57.0,5.7,Chi-Square,0.54,0.4623,No,0.117,Small,No statistically significant difference detected
1016,1024,elderly,110,123,62.7,52.8,9.9,Chi-Square,1.934,0.1644,No,0.2,Medium,No statistically significant difference detected
